Name	       Mass	   Gamma	    Spin    Isospin  I3      B		strange		charge
Ka0892zer    0.8958100    0.0507000         1.0      0.5     -0.5    0		1	0	
Ka0892zrb    0.8958100    0.0507000         1.0      0.5      0.5    0		-1	0
Ka0892plu    0.8916600    0.0508000         1.0      0.5      0.5    0		1	1
Ka0892min    0.8916600    0.0508000         1.0      0.5     -0.5    0		-1	-1
Ka1270zer    1.2730000    0.0900000         1.0      0.5     -0.5    0		1	0
Ka1270zrb    1.2730000    0.0900000         1.0      0.5      0.5    0		-1	0
Ka1270plu    1.2730000    0.0900000         1.0      0.5      0.5    0		1	1
Ka1270min    1.2730000    0.0900000         1.0      0.5     -0.5    0		-1	-1
Ka1410zer    1.4140000    0.2320000         1.0      0.5     -0.5    0		1	0
Ka1410zrb    1.4140000    0.2320000         1.0      0.5      0.5    0		-1	0
Ka1410plu    1.4140000    0.2320000         1.0      0.5      0.5    0		1	1
Ka1410min    1.4140000    0.2320000         1.0      0.5     -0.5    0		-1	-1
Ka1400zer    1.4030000    0.1740000         1.0      0.5     -0.5    0		1	0
Ka1400zrb    1.4030000    0.1740000         1.0      0.5      0.5    0		-1	0
Ka1400plu    1.4030000    0.1740000         1.0      0.5      0.5    0		1	1
Ka1400min    1.4030000    0.1740000         1.0      0.5     -0.5    0		-1	-1
Ka1430zer    1.4256000    0.0985000         2.0      0.5     -0.5    0		1	0
Ka1430zrb    1.4256000    0.0985000         2.0      0.5      0.5    0		-1	0
Ka1430plu    1.4256000    0.0985000         2.0      0.5      0.5    0		1	1
Ka1430min    1.4256000    0.0985000         2.0      0.5     -0.5    0		-1	-1
Ka1680zer    1.7170000    0.3220000         1.0      0.5     -0.5    0		1	0
Ka1680zrb    1.7170000    0.3220000         1.0      0.5      0.5    0		-1	0
Ka1680plu    1.7170000    0.3220000         1.0      0.5      0.5    0		1	1
Ka1680min    1.7170000    0.3220000         1.0      0.5     -0.5    0		-1	-1
Ka1770zer    1.7730000    0.1860000         2.0      0.5     -0.5    0		1	0
Ka1770zrb    1.7730000    0.1860000         2.0      0.5      0.5    0		-1	0
Ka1770plu    1.7730000    0.1860000         2.0      0.5      0.5    0		1	1
Ka1770min    1.7730000    0.1860000         2.0      0.5     -0.5    0		-1	-1	
Ka1780zer    1.7760000    0.1590000         3.0      0.5     -0.5    0		1	0
Ka1780zrb    1.7760000    0.1590000         3.0      0.5      0.5    0		-1	0
Ka1780plu    1.7760000    0.1590000         3.0      0.5      0.5    0		1	1	
Ka1780min    1.7760000    0.1590000         3.0      0.5     -0.5    0		-1	-1
Ka1820plu    1.8160000    0.2760000         2.0      0.5      0.5    0		1	1
Ka1820min    1.8160000    0.2760000         2.0      0.5     -0.5    0		-1	-1
Ka1820zer    1.8160000    0.2760000         2.0      0.5     -0.5    0		1	0		
Ka1820zrb    1.8160000    0.2760000         2.0      0.5      0.5    0		-1	0
Ka2045plu    2.0450000    0.1980000         2.0      0.5      0.5    0		1	1
Ka2045min    2.0450000    0.1980000         2.0      0.5     -0.5    0		-1	-1
Ka2045zer    2.0450000    0.1980000         2.0      0.5     -0.5    0		1	0
Ka2045zrb    2.0450000    0.1980000         2.0      0.5      0.5    0		-1	0
ne0939zer    0.9395653    0.0000000         0.5      0.5     -0.5    1		0	0		
ne0939zrb    0.9395653    0.0000000         0.5      0.5      0.5    -1		0	0
pr0938plu    0.9382720    0.0000000         0.5      0.5      0.5    1		0	1
pr0938plb    0.9382720    0.0000000         0.5      0.5     -0.5    -1		0	-1
Ns1440plu    1.4400000    0.3500000         0.5      0.5      0.5    1		0	1
Ns1440zer    1.4400000    0.3500000         0.5      0.5     -0.5    1		0	0
Ns1440plb    1.4400000    0.3500000         0.5      0.5     -0.5    -1		0	-1
Ns1440zrb    1.4400000    0.3500000         0.5      0.5      0.5    -1		0	0	
Ns1520plu    1.5200000    0.1200000         1.5      0.5      0.5    1		0	1
Ns1520zer    1.5200000    0.1200000         1.5      0.5     -0.5    1		0	0
Ns1520plb    1.5200000    0.1200000         1.5      0.5     -0.5    -1		0	-1
Ns1520zrb    1.5200000    0.1200000         1.5      0.5      0.5    -1		0	0
Ns1535plu    1.5350000    0.1500000         0.5      0.5      0.5    1		0	1
Ns1535zer    1.5350000    0.1500000         0.5      0.5     -0.5    1		0	0
Ns1535plb    1.5350000    0.1500000         0.5      0.5     -0.5    -1		0	-1		
Ns1535zrb    1.5350000    0.1500000         0.5      0.5      0.5    -1		0	0
Ns1650plu    1.6500000    0.1500000         0.5      0.5      0.5    1		0	1
Ns1650zer    1.6500000    0.1500000         0.5      0.5     -0.5    1		0	0
Ns1650plb    1.6500000    0.1500000         0.5      0.5     -0.5    -1		0	-1
Ns1650zrb    1.6500000    0.1500000         0.5      0.5      0.5    -1		0	0
Ns1675plu    1.6750000    0.1500000         2.5      0.5      0.5    1		0	1
Ns1675zer    1.6750000    0.1500000         2.5      0.5     -0.5    1		0	0
Ns1675plb    1.6750000    0.1500000         2.5      0.5     -0.5    -1		0	-1
Ns1675zrb    1.6750000    0.1500000         2.5      0.5      0.5    -1		0	0
Ns1680plu    1.6800000    0.1300000         2.5      0.5      0.5    1		0	1
Ns1680zer    1.6800000    0.1300000         2.5      0.5     -0.5    1		0	0
Ns1680plb    1.6800000    0.1300000         2.5      0.5     -0.5    -1		0	-1
Ns1680zrb    1.6800000    0.1300000         2.5      0.5      0.5    -1		0	0
Ns1720plu    1.7200000    0.1500000         1.5      0.5      0.5    1		0	1
Ns1720zer    1.7200000    0.1500000         1.5      0.5     -0.5    1		0	0
Ns1720plb    1.7200000    0.1500000         1.5      0.5     -0.5    -1		0	-1
Ns1720zrb    1.7200000    0.1500000         1.5      0.5      0.5    -1		0	0
Ns2190plu    2.1900000    0.4500000         3.5      0.5      0.5    1		0	1
Ns2190zer    2.1900000    0.4500000         3.5      0.5     -0.5    1		0	0
Ns2190plb    2.1900000    0.4500000         3.5      0.5     -0.5    -1		0	-1		
Ns2190zrb    2.1900000    0.4500000         3.5      0.5      0.5    -1		0	0
Ns2220plu    2.2200000    0.4000000         2.5      0.5      0.5    1		0	1
Ns2220zer    2.2200000    0.4000000         2.5      0.5     -0.5    1		0	0
Ns2220plb    2.2200000    0.4000000         2.5      0.5     -0.5    -1		0	-1
Ns2220zrb    2.2200000    0.4000000         2.5      0.5      0.5    -1		0	0
Ns2250plu    2.2500000    0.4000000         4.5      0.5      0.5    1		0	1
Ns2250zer    2.2500000    0.4000000         4.5      0.5     -0.5    1		0	0
Ns2250plb    2.2500000    0.4000000         4.5      0.5     -0.5    -1		0	-1
Ns2250zrb    2.2500000    0.4000000         4.5      0.5      0.5    -1		0	0
Dl1232plp    1.2320000    0.1200000         1.5      1.5      1.5    1		0	2
Dl1232plu    1.2320000    0.1200000         1.5      1.5      0.5    1		0	1
Dl1232zer    1.2320000    0.1200000         1.5      1.5     -0.5    1		0	0
Dl1232min    1.2320000    0.1200000         1.5      1.5     -1.5    1		0	-1
Dl1232ppb    1.2320000    0.1200000         1.5      1.5     -1.5    -1		0	-2
Dl1232plb    1.2320000    0.1200000         1.5      1.5     -0.5    -1		0	-1
Dl1232zrb    1.2320000    0.1200000         1.5      1.5      0.5    -1		0	0	
Dl1232mnb    1.2320000    0.1200000         1.5      1.5      1.5    -1		0	1
